ID	Nome Parlamentar	Partido	UF	Está na Comissão?	Quer impeachment? 	Facebook	Twitter	Instagram	Email	Telefone Gabinete	Whats App		Foto	Endereço (Anexo)	Profissões	Cargo
115	DANIEL COELHO	PSDB	PE	não	FAVOR	https://www.facebook.com/DanielCoelho45/	https://twitter.com/danielcoelho45	https://www.instagram.com/danielcoelho45/	dep.danielcoelho@camara.leg.br	3215-5813			117.jpg	4	Administrador	DF
116	DANIEL VILELA	PMDB	GO	não	INDECISO	https://www.facebook.com/danielvilelaoficial/	https://twitter.com/danielvilela15	https://www.instagram.com/danielvilela15	dep.danielvilela@camara.leg.br	3215-5471			118.jpg	3		DF
117	DANILO FORTE	PSB	CE	sim	FAVOR	https://www.facebook.com/danilobforte/	https://twitter.com/depdaniloforte	https://www.instagram.com/depdaniloforte/	dep.daniloforte@camara.leg.br	3215-5384			119.jpg	3	Advogado	DF
118	DANRLEI DE DEUS HINTERHOLZ	PSD	RS	não	INDECISO	https://www.facebook.com/Danrlei-de-Deus-Hinterholz-128207973912311/	https://twitter.com/danrleifederal	https://www.instagram.com/danrlei5501/	dep.danrleidedeushinterholz@camara.leg.br	3215-5566			120.jpg	3	Atleta Profissional de Futebol	DF
119	DARCÍSIO PERONDI	PMDB	RS	não	FAVOR	https://www.facebook.com/DarcisioPerondi	https://twitter.com/darcisioperondi	https://www.instagram.com/darcisioperondi/	dep.darcisioperondi@camara.leg.br	3215-5518			121.jpg	4	Médico	DF
120	DAVIDSON MAGALHÃES	PCdoB	BA	não	CONTRA	https://www.facebook.com/davidson.magalhaessantos/	https://twitter.com/davidson65	https://www.instagram.com/davidson.magalhaes/	dep.davidsonmagalhaes@camara.leg.br	3215-5826			122.jpg	4		DF
121	DÉCIO LIMA	PT	SC	não	CONTRA	https://www.facebook.com/VotoDecioLima/	https://twitter.com/deciolimapt	https://instagram.com/deciolimapt/	dep.deciolima@camara.leg.br	3215-5218			123.jpg	4	Professor de Ensino Médio e Advogado	DF
122	DELEGADO ÉDER MAURO	PSD	PA	não	FAVOR	https://www.facebook.com/oficialedermauro	https://twitter.com/edermauroficial	https://instagram.com/edermauroficial/	dep.delegadoedermauro@camara.leg.br	32155586			124.jpg	3		DF
123	DELEGADO EDSON MOREIRA	PR	MG	não	FAVOR	https://www.facebook.com/DelegadoEdsonMoreiraPolitico/	https://twitter.com/delegadomoreira	https://www.instagram.com/delegadomoreira/	dep.delegadoedsonmoreira@camara.leg.br	3215-5933			125.jpg	4	Advogado(a),delegado de Polícia Civil,policial Militar,professor de Direito	DF
124	DELEGADO WALDIR	PR	GO	não	FAVOR	https://www.facebook.com/delegado.waldir/	https://twitter.com/delegadowaldir		dep.delegadowaldir@camara.leg.br	3215-5645			126.jpg	4		DF
125	DELEY	PTB	RJ	não					dep.deley@camara.leg.br	3215-5742				4	Atleta Profissional e Tecnico Em Desportos	DF
126	DIEGO ANDRADE	PSD	MG	não	INDECISO	https://www.facebook.com/diegoandrademg/		http://instagram.com/diegoandrademg	dep.diegoandrade@camara.leg.br	3215-5307			127.jpg	4	Administrador de Empresas	DF
127	DIEGO GARCIA	PHS	PR	não	INDECISO	https://www.facebook.com/DiegoGarciaDeputado	https://twitter.com/diegogarciapr	https://www.instagram.com/deputadodiegogarcia/	dep.diegogarcia@camara.leg.br	3215-5745			128.jpg	4	Autônomo	DF
128	DILCEU SPERAFICO	PP	PR	não	FAVOR	https://www.facebook.com/depsperafico/	https://twitter.com/depsperafico		dep.dilceusperafico@camara.leg.br	3215-5746			129.jpg	4	Industrial, Bacharel Em Direito, Filósofo e Agropecuarista	DF
129	DIMAS FABIANO	PP	MG	não	INDECISO	https://www.facebook.com/depdimasfabiano.toledo	https://twitter.com/depdimasfabiano		dep.dimasfabiano@camara.leg.br	3215-5325			130.jpg	4		DF
130	DOMINGOS NETO	PSD	CE	não	INDECISO	https://www.facebook.com/DomingosNetoCeara	https://twitter.com/domingos_neto	https://www.instagram.com/domingosneto/	dep.domingosneto@camara.leg.br	3215-5546			131.jpg	4	Empresário	DF
131	DOMINGOS SÁVIO	PSDB	MG	não	FAVOR	https://www.facebook.com/domingossaviomg/	https://twitter.com/domingossaviomg	https://www.instagram.com/domingossaviomg/	dep.domingossavio@camara.leg.br	3215-5345			132.jpg	4	Médico Veterinário	DF
132	DR. JOÃO	PR	RJ	não	FAVOR	https://www.facebook.com/drjoaoferreiraneto/	https://twitter.com/DrJoaoOficial	https://instagram.com/Drjoaooficial	dep.dr.joao@camara.leg.br	3215-5911			133.jpg	4	Médico(a)	DF
133	DR. JORGE SILVA	PHS	ES	não	FAVOR	https://www.facebook.com/DrJorgeSilva/	https://twitter.com/jssilvajorge		dep.dr.jorgesilva@camara.leg.br	3215-5227			134.jpg	4	Médico	DF
134	DR. SINVAL MALHEIROS	PTN	SP	não	FAVOR	https://www.facebook.com/drsinvalmalheiros4311	https://twitter.com/sinvalmalheiros	https://www.instagram.com/drsinval/	dep.dr.sinvalmalheiros@camara.leg.br	3215-5520			135.jpg	4		DF
135	DULCE MIRANDA	PMDB	TO	não	INDECISO	https://www.facebook.com/dulcepaganimiranda	https://twitter.com/dulcemiranda_to		dep.dulcemiranda@camara.leg.br	3215-5530			136.jpg	4		DF
136	EDINHO ARAÚJO	PMDB	SP	não	FAVOR	https://www.facebook.com/deputadoedinhoaraujo/	https://twitter.com/_edinhoaraujo		dep.edinhoaraujo@camara.leg.br	3215-5418			137.jpg	4	Advogado, Professor	DF
137	EDINHO BEZ	PMDB	SC	não	FAVOR	https://www.facebook.com/DeputadoFederalEdinhoBez/	https://twitter.com/dep_edinhobez		dep.edinhobez@camara.leg.br	3215-5703			138.jpg	4	Contador e Bancário	DF
138	EDIO LOPES	PR	RR	sim	CONTRA	https://www.facebook.com/deputadoediolopes/	https://twitter.com/ediolopes		dep.ediolopes@camara.leg.br	3215-5408			139.jpg	4	Servidor Público	DF
139	EDMILSON RODRIGUES	PSOL	PA	não	CONTRA	https://www.facebook.com/edmilsonpsol/	https://twitter.com/edmilsonpsol	https://www.instagram.com/edmilsonpsol/	dep.edmilsonrodrigues@camara.leg.br	3215-5301			141.jpg	4	Professor(a)	DF
140	EDUARDO BARBOSA	PSDB	MG	não	FAVOR	https://www.facebook.com/deputadofederaleduardobarbosa/	https://twitter.com/eduardobarbosa_		dep.eduardobarbosa@camara.leg.br	3215-1540			142.jpg	4	Médico	DF
141	EDUARDO BOLSONARO	PSC	SP	sim	FAVOR	https://www.facebook.com/bolsonaro.enb/	https://twitter.com/bolsonarosp	https://www.instagram.com/bolsonarosp/	dep.eduardobolsonaro@camara.leg.br	3215-5481			143.jpg	3	Policial Federal	DF
142	EDUARDO CUNHA	PMDB	RJ	não	FAVOR	https://www.facebook.com/DeputadoEduardoCunha	https://twitter.com/DepEduardoCunha	https://www.instagram.com/depeduardocunha/	dep.eduardocunha@camara.leg.br	3215-5510			144.jpg	4	Economista	DF
143	EDUARDO CURY	PSDB	SP	não	FAVOR	https://www.facebook.com/EduardoCuryOficial/	https://twitter.com/eduardo_cury	https://www.instagram.com/eduardocuryoficial/	dep.eduardocury@camara.leg.br	3215-5368			145.jpg	3	Engenheiro Mecânico	DF
144	EDUARDO DA FONTE	PP	PE	não	INDECISO	https://www.facebook.com/dududafonte	https://twitter.com/eduardodafonte		dep.eduardodafonte@camara.leg.br	3215-5628			146.jpg	4	Empresário	DF
145	EFRAIM FILHO	DEM	PB	não	FAVOR	https://www.facebook.com/Efraim-Filho_2511-810714015625617/	https://twitter.com/efraimfilho	https://instagram.com/efraimfilhopb	dep.efraimfilho@camara.leg.br	3215-5744			147.jpg	4	Advogado	DF
146	ELCIONE BARBALHO	PMDB	PA	não	CONTRA	https://www.facebook.com/elcionepmdb/	https://twitter.com/elcionepmdb		dep.elcionebarbalho@camara.leg.br	3215-5919			148.jpg	4	Pedagoga	DF
147	ELI CORRÊA FILHO	DEM	SP	não	FAVOR	https://www.facebook.com/EliCorreaFilho/	https://twitter.com/elicorreafilho	https://www.instagram.com/elicorreafilho/	dep.elicorreafilho@camara.leg.br	3215-5850			149.jpg	4	Radialista	DF
148	ELIZEU DIONIZIO	PSDB	MS	não	FAVOR	https://www.facebook.com/dionizioelizeu/	https://twitter.com/elizeudionizio	https://www.instagram.com/elizeudionizio/	dep.elizeudionizio@camara.leg.br	3215-5531			150.jpg	4		DF
149	ELIZIANE GAMA	REDE	MA	não	INDECISO	https://www.facebook.com/elizianegama	https://twitter.com/elizianegama	https://www.instagram.com/elizianegama/	dep.elizianegama@camara.leg.br	3215-5205			151.jpg	4		DF
150	ELMAR NASCIMENTO	DEM	BA	sim	FAVOR	https://www.facebook.com/elmarnascimento/	https://twitter.com/depelmar		dep.elmarnascimento@camara.leg.br	3215-5935			152.jpg	4	Advogado(a)	DF
151	ENIO VERRI	PT	PR	não	CONTRA	https://www.facebook.com/enioverri/	https://twitter.com/enioverri13	https://instagram.com/enioverri	dep.enioverri@camara.leg.br	3215-5472			153.jpg	3		DF
152	ERIKA KOKAY	PT	DF	não	CONTRA	https://www.facebook.com/ErikaKokay	https://twitter.com/erikakokay	http://instagram.com/erikakokay	dep.erikakokay@camara.leg.br	3215-5203			154.jpg	4	Bancário	DF
153	ERIVELTON SANTANA	PSC	BA	não	INDECISO	https://www.facebook.com/deputadoeriveltonsantana/	https://twitter.com/dep_erivelton		dep.eriveltonsantana@camara.leg.br	3215-5756			155.jpg	4	Assessor Político, Auxiliar de Administração	DF
154	EROS BIONDINI	PROS	MG	sim	FAVOR	https://www.facebook.com/erosbiondini/	https://twitter.com/eros_1433	https://www.instagram.com/erosbiondini/	dep.erosbiondini@camara.leg.br	3215-5321			156.jpg	4	Médico Veterinário, Músico	DF
155	ESPERIDIÃO AMIN	PP	SC	não	FAVOR	https://www.facebook.com/esperidiaoamin/	https://twitter.com/esperidiaoamin_		dep.esperidiaoamin@camara.leg.br	3215-5252			157.jpg	4	Administrador, Advogado, Professor Universitário	DF
156	EVAIR DE MELO	PV	ES	sim	FAVOR	https://www.facebook.com/evair.vieirademelo/	https://twitter.com/evairdemelo		dep.evairdemelo@camara.leg.br	3215-5443			158.jpg	4		DF
157	EVANDRO GUSSI	PV	SP	não	FAVOR	https://www.facebook.com/evandro.gussi/	https://twitter.com/evandrogussi		dep.evandrogussi@camara.leg.br	3215-5433			159.jpg	4	Advogado(a),professor Universitário	DF
158	EVANDRO ROMAN	PSD	PR	não	FAVOR	https://www.facebook.com/evandrorogerio.roman/	https://twitter.com/roman_evandro	https://www.instagram.com/evandroroman/	dep.evandroroman@camara.leg.br	3215-5303			160.jpg	4	Professor de Educação Física	DF
159	EXPEDITO NETTO	PSD	RO	não	FAVOR	https://www.facebook.com/dep.expeditonetto/	https://twitter.com/netto_expedito		dep.expeditonetto@camara.leg.br	3215-5943			161.jpg	4		DF
160	EZEQUIEL TEIXEIRA	PTN	RJ	não	INDECISO	https://www.facebook.com/EzequielFonsecaMT/	https://twitter.com/depezequiel		dep.ezequielteixeira@camara.leg.br	3215-5210			162.jpg	4	Advogado(a)	DF
161	FÁBIO FARIA	PSD	RN	não	CONTRA	https://www.facebook.com/fabiofaria5555/	https://twitter.com/fabiofaria5555	https://www.instagram.com/fabiofaria55/	dep.fabiofaria@camara.leg.br	3215-5706			163.jpg	4	Administrador de Empresas	DF
162	FABIO GARCIA	PSB	MT	não	FAVOR	https://www.facebook.com/fabiogarcia4010	https://twitter.com/fabiogarcia4010	https://instagram.com/depfabiogarcia/	dep.fabiogarcia@camara.leg.br	3215-5278			164.jpg	3	Engenheiro Civil	DF
163	FÁBIO MITIDIERI	PSD	SE	não	INDECISO	https://www.facebook.com/fabio.mitidieri.98/	https://twitter.com/FabioMitidieri1		dep.fabiomitidieri@camara.leg.br	3215-5286			165.jpg	3		DF
164	FÁBIO RAMALHO	PMB	MG	não	FAVOR	https://www.facebook.com/deputadofabioramalho4311/	https://twitter.com/_fabinhoramalho		dep.fabioramalho@camara.leg.br	3215-5452			166.jpg	4	Empresário	DF
165	FABIO REIS	PMDB	SE	não	CONTRA	https://www.facebook.com/fabioreis1515	https://twitter.com/fabio__reis	https://www.instagram.com/fabioreis1515	dep.fabioreis@camara.leg.br	3215-5456			167.jpg	4		DF
166	FÁBIO SOUSA	PSDB	GO	não	FAVOR	https://www.facebook.com/FabioSousaOficial/	https://twitter.com/depfabiosousa		dep.fabiosousa@camara.leg.br	3215-5271			168.jpg	3	Apresentador de Televisão,gestor Público,pastor,radialista	DF
167	FAUSTO PINATO	PP	SP	não	FAVOR	https://www.facebook.com/faustopinato/	https://twitter.com/faustopinato10		dep.faustopinato@camara.leg.br	3215-5562			169.jpg	4	Advogado(a)	DF
168	FELIPE BORNIER	PSD	RJ	não	FAVOR	https://www.facebook.com/FelipeBornier/	https://twitter.com/felipebornierrj	https://www.instagram.com/felipebornier	dep.felipebornier@camara.leg.br	3215-5216			170.jpg	4	Empresário	DF
169	FELIPE MAIA	DEM	RN	não	FAVOR	https://www.facebook.com/felipemaiarn	https://twitter.com/depfelipemaia	https://instagram.com/depfelipemaia	dep.felipemaia@camara.leg.br	3215-5528			171.jpg	4	Advogado	DF
170	FÉLIX MENDONÇA JÚNIOR	PDT	BA	não	INDECISO	https://www.facebook.com/felixjunior1234/	https://twitter.com/felixmendoncajr		dep.felixmendoncajunior@camara.leg.br	3215-5912			172.jpg	4		DF
171	FERNANDO COELHO FILHO	PSB	PE	sim	INDECISO	https://www.facebook.com/fernandofilhope	https://twitter.com/fbcfilho	https://www.instagram.com/fbcfilho/	dep.fernandocoelhofilho@camara.leg.br	3215-5662			173.jpg	4	Administrador de Empresas	DF
172	FERNANDO FRANCISCHINI	SD	PR	sim	FAVOR	https://www.facebook.com/FernandoFrancischiniBR/	https://twitter.com/francischini_	https://www.instagram.com/fernando_francischini_/	dep.fernandofrancischini@camara.leg.br	3215-5265			174.jpg	3	Delegado de Polícia Federal	DF
173	FERNANDO JORDÃO	PMDB	RJ	não	INDECISO	https://www.facebook.com/fernando.jordao			dep.fernandojordao@camara.leg.br	3215-5626			175.jpg	4		DF
174	FERNANDO MONTEIRO	PP	PE	não	INDECISO	https://www.facebook.com/fmonteiro2014	https://twitter.com/monteirofer	https://instagram.com/fernandomonteirope/	dep.fernandomonteiro@camara.leg.br	3215-5282			176.jpg	3		DF
175	FERNANDO TORRES	PSD	BA	não	INDECISO	https://www.facebook.com/deputadofernandotorres	https://twitter.com/torrespsd5528		dep.fernandotorres@camara.leg.br	3215-5642			177.jpg	4	Empresário	DF
176	FLÁVIA MORAIS	PDT	GO	não	INDECISO	https://www.facebook.com/flaviamoraisoficial	https://twitter.com/depflaviamorais		dep.flaviamorais@camara.leg.br	3215-5738			178.jpg	4	Professora de Educação Física	DF
177	FLAVIANO MELO	PMDB	AC	não	FAVOR	https://www.facebook.com/flavianomelo15	https://twitter.com/flaviano_melo		dep.flavianomelo@camara.leg.br	3215-5224			179.jpg	4	Engenheiro Civil	DF
178	FLAVINHO	PSB	SP	não	FAVOR	https://www.facebook.com/Flavinhocn/	https://twitter.com/flavinhocn	https://www.instagram.com/flavinhocn	dep.flavinho@camara.leg.br	3215-5379			180.jpg	3	Apresentador de Televisão,cantor,compositor,empresário,escritor,locutor	DF
179	FLAVIO NOGUEIRA	PDT	PI	sim	CONTRA	https://www.facebook.com/flavio.nogueirajunior/	https://twitter.com/flaviopsolrj		dep.flavionogueira@camara.leg.br	3215-5811			181.jpg	4		DF
180	FRANCISCO CHAPADINHA	PTN	PA	não	INDECISO	https://www.facebook.com/chapadinha55	https://twitter.com/chapadinha55		dep.franciscochapadinha@camara.leg.br	3215-5385			182.jpg	3	Empresário	DF
181	FRANCISCO FLORIANO	DEM	RJ	não	FAVOR	https://www.facebook.com/DepFranciscoFloriano	https://twitter.com/dep_francisco		dep.franciscofloriano@camara.leg.br	3215-5719			183.jpg	4	Apresentador de Televisão, Locutor, Publicitário, Representante Comercial	DF
182	FRANKLIN LIMA	PTdoB	MG	não					dep.franklinlima@camara.leg.br	3215-5627				4		DF
183	GABRIEL GUIMARÃES	PT	MG	não	CONTRA	https://www.facebook.com/gabrielguimaraesmg/	https://twitter.com/gguimaraespt	https://www.instagram.com/gabrielguimaraesmg/	dep.gabrielguimaraes@camara.leg.br	3215-5821			184.jpg	4	Advogado	DF
184	GENECIAS NORONHA	SD	CE	não	FAVOR	https://www.facebook.com/Deputado-Federal-Genecias-Noronha-213910975288105/	https://twitter.com/depgenecias	https://instagram.com/geneciasnoronha/	dep.geneciasnoronha@camara.leg.br	3215-5244			185.jpg	4	Empresário	DF
185	GEOVANIA DE SÁ	PSDB	SC	não	FAVOR	https://www.facebook.com/geovaniasarodrigues	https://twitter.com/geovaniadesa	https://www.instagram.com/geovaniasa	dep.geovaniadesa@camara.leg.br	3215-5606			186.jpg	4	Administradora de Empresas	DF
186	GERALDO RESENDE	PMDB	MS	não	FAVOR	https://www.facebook.com/GeraldoResendeMS/	https://twitter.com/dep_geraldo		dep.geraldoresende@camara.leg.br	3215-5905			187.jpg	4	Medico	DF
187	GIACOBO	PR	PR	não	FAVOR	https://www.facebook.com/giacobofernando	https://twitter.com/giacobofernando		dep.giacobo@camara.leg.br	3215-5762			188.jpg	4	Empresário	DF
188	GILBERTO NASCIMENTO	PSC	SP	não	FAVOR	https://www.facebook.com/gilbertonascimento.psc20/	https://twitter.com/comunicagr	https://www.instagram.com/gnascimento_20/	dep.gilbertonascimento@camara.leg.br	3215-5834			189.jpg	4	Advogado e Delegado de Polícia	DF
189	GIOVANI CHERINI	PDT	RS	não	INDECISO	https://www.facebook.com/deputadogiovanicherini	https://twitter.com/giovanicherini	https://www.instagram.com/deputadogiovanicherini/	dep.giovanicherini@camara.leg.br	3215-5468			190.jpg	3	Tecnólogo Em Cooperativismo	DF
190	GIUSEPPE VECCI	PSDB	GO	não	FAVOR	https://www.facebook.com/G.Vecci45/	https://twitter.com/depvecci45	https://www.instagram.com/gvecci/	dep.giuseppevecci@camara.leg.br	3215-5383			191.jpg	3	Economista	DF
191	GIVALDO CARIMBÃO	PHS	AL	não	INDECISO	https://www.facebook.com/carimbao/	https://twitter.com/givaldocarimbao		dep.givaldocarimbao@camara.leg.br	3215-5732			192.jpg	4	Comerciante e Gráfico	DF
192	GIVALDO VIEIRA	PT	ES	não	CONTRA	https://www.facebook.com/GivaldoVieiraES/	https://twitter.com/givaldovieira	https://instagram.com/givaldovieira_es/	dep.givaldovieira@camara.leg.br	3215-5805			193.jpg	4	Advogado(a)	DF
193	GLAUBER BRAGA	PSOL	RJ	não	CONTRA	https://www.facebook.com/glauber.braga1/	https://twitter.com/glauber_braga	https://www.instagram.com/glauberbraga_oficial	dep.glauberbraga@camara.leg.br	3215-5362			194.jpg	4	Bacharel Em Direito	DF
194	GONZAGA PATRIOTA	PSB	PE	não	FAVOR	https://www.facebook.com/DepGonzagaPatriota/			dep.gonzagapatriota@camara.leg.br	3215-5430			195.jpg	4	Advogado, Contador , Administrador de Empresas e Jornalista.	DF
195	GORETE PEREIRA	PR	CE	não	INDECISO	https://www.facebook.com/deputadagoretepereira	https://twitter.com/d_goretepereira		dep.goretepereira@camara.leg.br	3215-5206			196.jpg	4	Fisioterapeuta	DF
196	GOULART	PSD	SP	não	FAVOR	https://www.facebook.com/goulartoficial		https://www.instagram.com/goulart_oficial/	dep.goulart@camara.leg.br	3215-5533			197.jpg	4	Empresário	DF
197	GUILHERME MUSSI	PP	SP	não	FAVOR	https://www.facebook.com/deputadoguilhermemussi	https://twitter.com/guilhermemussi	https://www.instagram.com/deputadoguilhermemussi	dep.guilhermemussi@camara.leg.br	3215-5712			198.jpg	4	Administrador de Empresas	DF
198	HEITOR SCHUCH	PSB	RS	não	FAVOR	https://www.facebook.com/heitorschuchoficial	https://twitter.com/heitorschuch		dep.heitorschuch@camara.leg.br	3215-5277			199.jpg	3	Agricultor Familiar	DF
199	HELDER SALOMÃO	PT	ES	não	CONTRA	https://www.facebook.com/helder.salomao.313/	https://twitter.com/heldersalomao	https://www.instagram.com/heldersalomao/	dep.heldersalomao@camara.leg.br	3215-5573			200.jpg	3	Professor(a)	DF
200	HÉLIO LEITE	DEM	PA	não	FAVOR	https://www.facebook.com/HelioLeite2525/	https://twitter.com/h_leite		dep.helioleite@camara.leg.br	3215-5403			201.jpg	4	Corretor de Imóveis	DF
201	HENRIQUE FONTANA	PT	RS	sim	CONTRA	https://www.facebook.com/deputadohenriquefontana/	https://twitter.com/henriquefontana		dep.henriquefontana@camara.leg.br	3215-5256			202.jpg	4	Médico e Administrador de Empresas	DF
202	HERÁCLITO FORTES	PSB	PI	não	FAVOR	https://www.facebook.com/hfortespi/	https://twitter.com/heraclitopi	http://instagram.com/heraclitofortes	dep.heraclitofortes@camara.leg.br	3215-5708			203.jpg	4	Servidor Público	DF
203	HERCULANO PASSOS	PSD	SP	não	INDECISO	https://www.facebook.com/HerculanoPassosJr	https://twitter.com/herculanopassos		dep.herculanopassos@camara.leg.br	3215-5926			204.jpg	4	Empresário	DF
204	HERMES PARCIANELLO	PMDB	PR	não	CONTRA	https://twitter.com/hermeslaranja			dep.hermesparcianello@camara.leg.br	3215-5234			205.jpg	4	Contador	DF
205	HEULER CRUVINEL	PSD	GO	não	FAVOR	https://www.facebook.com/heuler.cruvinel.7/	https://twitter.com/heuler5500		dep.heulercruvinel@camara.leg.br	3215-5536			206.jpg	4		DF
206	HILDO ROCHA	PMDB	MA	não	INDECISO	https://www.facebook.com/hildorocha1	https://twitter.com/hildorocha	https://instagram.com/hildorocha/	dep.hildorocha@camara.leg.br	3215-5734			207.jpg	4		DF
207	HIRAN GONÇALVES	PP	RR	não	INDECISO	https://www.facebook.com/DeputadoHiranGoncalves			dep.hirangoncalves@camara.leg.br	3215-5274			208.jpg	3	Médico Legista,médico(a)	DF
208	HISSA ABRAHÃO	PPS	AM	não	INDECISO	https://www.facebook.com/hissa.abrahao/	https://twitter.com/hissa_abrahao	https://www.instagram.com/hissaabrahao/	dep.hissaabrahao@camara.leg.br	3215-5272			209.jpg	3	Comerciante	DF
209	HUGO LEAL	PROS	RJ	não	INDECISO	https://www.facebook.com/deputadohugoleal	https://twitter.com/dephugoleal	https://instagram.com/dephugoleal/	dep.hugoleal@camara.leg.br	3215-5631			210.jpg	4	Advogado	DF
210	HUGO MOTTA	PMDB	PB	não	INDECISO	https://www.facebook.com/hugomottapb/	https://twitter.com/hugomottapb	https://instagram.com/hugomottapb	dep.hugomotta@camara.leg.br	3215-5237			211.jpg	4	Estudante Universitário	DF
211	INDIO DA COSTA	PSD	RJ	não	FAVOR	https://www.facebook.com/indiodacosta/	https://twitter.com/indio	https://www.instagram.com/indio.dacosta/	dep.indiodacosta@camara.leg.br	3215-5509			212.jpg	4	Advogado	DF
212	IRACEMA PORTELLA	PP	PI	não	CONTRA	https://www.facebook.com/iracemaportella/	https://twitter.com/iracemaportela		dep.iracemaportella@camara.leg.br	3215-5924			213.jpg	4	Empresária, Professor	DF
213	IRAJÁ ABREU	PSD	TO	não	INDECISO	https://www.facebook.com/irajaabreu/	https://twitter.com/irajaabreu	https://instagram.com/iraja_abreu/	dep.irajaabreu@camara.leg.br	3215-5802			214.jpg	4	Empresário, Produtor Rural	DF
214	IRMÃO LAZARO	PSC	BA	não	FAVOR	https://www.facebook.com/Deputado-Irmão-Lázaro-741329655946890/	https://twitter.com/irmaolazaro		dep.irmaolazaro@camara.leg.br	3215-5467			215.jpg	3	Cantor,compositor,músico	DF
215	IVAN VALENTE	PSOL	SP	não	CONTRA	https://www.facebook.com/IvanValentePSOL/	https://twitter.com/dep_ivanvalente	https://www.instagram.com/ivanvalentepsol	dep.ivanvalente@camara.leg.br	3215-5716			216.jpg	4	Matemático e Engenheiro.	DF
216	IZALCI	PSDB	DF	não	FAVOR	https://www.facebook.com/izalci/	https://twitter.com/izalcilucas	https://www.instagram.com/izalci/	dep.izalci@camara.leg.br	3215-5602			217.jpg	4	Contador, Professor	DF
217	JAIME MARTINS	PSD	MG	não	INDECISO	https://www.facebook.com/jaiminho.martins	https://twitter.com/jaiminhomartins		dep.jaimemartins@camara.leg.br	3215-5904			218.jpg	4	Empresário, Engenheiro e Advogado	DF
218	JAIR BOLSONARO	PSC	RJ	não	FAVOR	https://www.facebook.com/jairmessias.bolsonaro	https://twitter.com/depbolsonaro	https://www.instagram.com/jairmessiasbolsonaro/	dep.jairbolsonaro@camara.leg.br	3215-5482			219.jpg	3	Militar	DF
219	JANDIRA FEGHALI	PCdoB	RJ	sim	CONTRA	https://www.facebook.com/sigajandira2	https://twitter.com/jandira_feghali	https://www.instagram.com/jfeghali	dep.jandirafeghali@camara.leg.br	3215-5622			220.jpg	4	Médico, Músico	DF
220	JANETE CAPIBERIBE	PSB	AP	não	CONTRA	https://www.facebook.com/Janete-Capiberibe-263657017084590/	https://twitter.com/janetecapi	https://instagram.com/janetecapi/	dep.janetecapiberibe@camara.leg.br	3215-5209			221.jpg	4		DF
221	JARBAS VASCONCELOS	PMDB	PE	não	FAVOR	https://www.facebook.com/JarbasVasconcelos/	https://twitter.com/ejarbas15		dep.jarbasvasconcelos@camara.leg.br	3215-5304			222.jpg	4	Advogado(a),funcionário Público	DF
222	JEAN WYLLYS	PSOL	RJ	não	CONTRA	https://www.facebook.com/jean.wyllys/	https://twitter.com/jeanwyllys_real	https://www.instagram.com/jeanwyllys_real/	dep.jeanwyllys@camara.leg.br	3215-5646			223.jpg	4	Comunicador, Escritor, Jornalista, Professor Universitário	DF
223	JEFFERSON CAMPOS	PSD	SP	não	FAVOR	https://www.facebook.com/PrJeffersonCampos/	https://twitter.com/depjefferson	https://instagram.com/depjefferson/	dep.jeffersoncampos@camara.leg.br	3215-5346			224.jpg	4	Ministro do Evangelho, Advogado, Tecnologo, Radialista, Bacharel Em Teologia	DF
224	JERÔNIMO GOERGEN	PP	RS	sim	FAVOR	https://twitter.com/jeronimogoergen		https://instagram.com/jeronimogoergen/	dep.jeronimogoergen@camara.leg.br	3215-5316			225.jpg	4	Advogado	DF
225	JÉSSICA SALES	PMDB	AC	não	INDECISO	https://www.facebook.com/dep.jessicasales			dep.jessicasales@camara.leg.br	3215-5952			226.jpg	4		DF
226	JHC	PSB	AL	não	FAVOR	https://www.facebook.com/Deputado.JHC/	https://twitter.com/deputadojhc	https://www.instagram.com/deputadojhc	dep.jhc@camara.leg.br	3215-5958			227.jpg	4		DF
227	JHONATAN DE JESUS	PRB	RR	sim	INDECISO	https://www.facebook.com/DepJhonatanJesus/	https://twitter.com/jhonatan_djesus	https://instagram.com/jhonatandejesus/	dep.jhonatandejesus@camara.leg.br	3215-5535			228.jpg	4	Empresário	DF
228	JÔ MORAES	PCdoB	MG	não	CONTRA	https://www.facebook.com/deputadajomoraes/	https://twitter.com/jomoraes		dep.jomoraes@camara.leg.br	3215-5322			229.jpg	4	Funcionária Pública	DF
229	JOÃO ARRUDA	PMDB	PR	não	CONTRA	https://www.facebook.com/JoaoArruda15/	https://twitter.com/joao_arruda	https://www.instagram.com/joao_arruda/	dep.joaoarruda@camara.leg.br	3215-5633			230.jpg	4	Bacharel Em Ciências Físicas e Naturais	DF
230	JOÃO CAMPOS	PSDB	GO	não	FAVOR	https://www.facebook.com/deputadojoaocampos/	https://twitter.com/depjoaocampos		dep.joaocampos@camara.leg.br	3215-5315			231.jpg	4	Delegado de Polícia	DF
231	JOÃO CARLOS BACELAR	PR	BA	não	INDECISO	https://www.facebook.com/Jo%25C3%25A3o-Carlos-Bacelar-543245952454205/			dep.joaocarlosbacelar@camara.leg.br	3215-5928			232.jpg	4	Engenheiro Civil	DF
232	JOÃO CASTELO	PSDB	MA	não	FAVOR	https://www.facebook.com/joaocastelo			dep.joaocastelo@camara.leg.br	3215-5324			233.jpg	4	Empresário e Advogado	DF
